issue_id,user_id,issue_type,description,reported_date,status,priority,app_version
1,299,Crash,Data lost after app update,2024-10-08 12:22:20,In Progress,High,3.8.3
2,226,Crash,Dark mode not applied on some screens,2025-04-01 20:14:39,Resolved,Critical,4.9.6
3,770,Network,Profile picture upload not working,2025-05-10 06:05:59,Resolved,Medium,5.7.3
4,291,Other,Slow performance on home screen,2024-09-16 19:35:13,Open,Medium,3.9.8
5,440,Crash,Slow performance on home screen,2025-04-17 07:28:50,In Progress,Low,1.9.7
6,512,Crash,Data not syncing with server,2025-03-08 19:42:24,Resolved,Critical,3.7.4
7,3,Other,Error message displayed incorrectly,2025-04-18 16:46:27,In Progress,High,3.3.0
8,82,Network,Keyboard hides input field on iOS,2025-08-18 11:45:36,Resolved,Critical,4.5.5
9,97,Performance,Payment gateway fails at checkout,2025-02-19 00:01:17,In Progress,High,5.6.9
10,883,Performance,Login button not responding on Android,2024-11-03 02:03:33,In Progress,Medium,4.3.8
11,822,UI Bug,Error message displayed incorrectly,2024-11-04 01:43:00,Resolved,Medium,1.0.0
12,37,UI Bug,App logs out automatically,2024-12-27 15:20:05,Open,Critical,4.8.0
13,324,UI Bug,Location services not detecting city,2024-10-16 20:05:08,In Progress,High,1.5.2
14,957,Data Loss,Crash when switching app language,2024-12-23 13:28:54,Resolved,Low,5.0.7
15,162,Crash,Keyboard hides input field on iOS,2025-04-21 09:31:36,In Progress,Critical,5.8.7
16,370,Crash,Data not syncing with server,2025-06-26 22:20:24,Resolved,High,4.0.9
17,170,Other,App crashes when opening settings,2024-11-24 19:04:05,In Progress,Low,1.2.6
18,530,UI Bug,Profile picture upload not working,2025-06-03 05:25:18,Open,Low,5.8.9
19,370,Crash,Crash when switching app language,2025-07-13 14:56:00,Open,Low,3.5.9
20,102,Other,Keyboard hides input field on iOS,2024-11-05 19:10:35,Resolved,Critical,2.2.0
21,17,Other,UI elements overlap on small screen,2025-05-15 14:00:21,In Progress,Medium,5.4.5
22,897,Data Loss,Data lost after app update,2024-09-18 20:39:08,Open,High,3.5.4
23,387,UI Bug,Error message displayed incorrectly,2025-05-18 21:40:08,In Progress,Critical,3.2.6
24,828,Network,Slow performance on home screen,2025-07-12 07:54:11,Open,Critical,4.4.1
25,871,Crash,Profile picture upload not working,2025-07-23 02:49:02,Open,Medium,2.4.3
26,594,Data Loss,Payment gateway fails at checkout,2024-09-25 14:33:21,Resolved,High,3.1.1
27,205,UI Bug,App freezes after login,2024-11-20 06:03:37,Resolved,High,3.3.2
28,588,Network,Payment gateway fails at checkout,2025-08-05 18:30:29,Resolved,High,1.0.5
29,401,UI Bug,Crash when switching app language,2025-06-30 17:18:39,In Progress,Medium,2.7.4
30,320,Crash,Notifications are not received,2025-06-06 23:28:32,Resolved,High,5.3.5
31,621,Network,Search results take too long to load,2025-07-27 06:47:36,In Progress,High,5.0.7
32,965,Data Loss,Payment gateway fails at checkout,2024-11-21 00:03:36,Resolved,Medium,4.7.6
33,946,Network,Dark mode not applied on some screens,2025-01-05 18:55:17,In Progress,Low,1.5.6
34,43,Data Loss,App freezes after login,2025-08-24 16:33:35,In Progress,Low,4.7.7
35,218,Other,Notifications are not received,2025-06-21 03:15:48,In Progress,Medium,2.7.8
36,852,Performance,Keyboard hides input field on iOS,2025-06-28 23:15:10,In Progress,High,4.8.0
